state,fips,year,traffic_deaths,population,traffic_crude_rate,traffic_crude_rate_standard_error,traffic_age_adjusted_rate,traffic_age_adjusted_rate_standard_error,long_commute_prop,long_car_commute_prop,long_car_commute_alone_prop,deaths,crude_rate,crude_rate_standard_error,age_adjusted_rate,age_adjusted_rate_standard_error
Vermont,50,2013,77,626630,12.3,1.4,11.8,1.4,29.616930393782454,28.29283603883919,24.26971812245399,5639,899.9,12,710.6,9.7
Vermont,50,2014,46,626562,7.3,1.1,6.9,1,28.49323441028166,27.072545457632298,23.724215208570314,5623,897.4,12,694.8,9.5
Vermont,50,2015,61,626042,9.7,1.2,9,1.2,30.124143067071834,28.44352388108331,24.776748608626846,5919,945.5,12.3,714.7,9.6
Vermont,50,2016,69,624594,11,1.3,10.6,1.3,31.10816630776876,29.41757123588213,26.34772643528175,5909,946.1,12.3,712.8,9.5
Virginia,51,2012,868,8185867,10.6,0.4,10.3,0.4,40.58068950992185,36.240837923521966,31.19850094114522,61564,752.1,3,730.2,3
Virginia,51,2013,808,8260405,9.8,0.3,9.4,0.3,40.11406313825867,35.54814876798725,30.871262924188265,62716,759.2,3,724.8,2.9
Virginia,51,2014,828,8326289,9.9,0.3,9.6,0.3,40.73875750653195,35.82930935017068,31.09622513240161,63598,763.8,3,717.5,2.9
Virginia,51,2015,832,8382993,9.9,0.3,9.6,0.3,41.366213419100085,36.44395758367035,31.837595134222845,65577,782.3,3.1,721.6,2.9
Virginia,51,2016,856,8411808,10.2,0.3,9.9,0.3,42.05379810501304,37.540220967647414,32.94079174196272,66473,790.2,3.1,715.5,2.8
Washington,53,2012,576,6897012,8.4,0.3,8.1,0.3,36.79459110411885,30.827419612936453,25.515767019321906,50105,726.5,3.2,681.5,3.1
Washington,53,2013,583,6971406,8.4,0.3,8.2,0.3,36.66725221037256,30.261777585452855,25.431767075327837,51264,735.3,3.2,679.3,3
Washington,53,2014,617,7061530,8.7,0.4,8.4,0.3,38.689969395034176,32.05467473594587,27.018214684758625,52099,737.8,3.2,672.9,3
Washington,53,2015,699,7170351,9.7,0.4,9.5,0.4,38.62780583755068,31.853110442595405,27.16304796208912,54595,761.4,3.3,687.4,3
Washington,53,2016,665,7288000,9.1,0.4,8.8,0.3,40.04524810460615,33.208135447081425,28.143270925789853,54769,751.5,3.2,672,2.9
West Virginia,54,2012,373,1855413,20.1,1,19.7,1,32.224539519112554,31.23915813820321,26.521509692413925,21915,1181.1,8,939.3,6.5
West Virginia,54,2013,343,1854304,18.5,1,18.1,1,33.35255885663532,32.442302482187294,27.28827950652318,21843,1178,8,923.8,6.4
West Virginia,54,2014,332,1850326,17.9,1,17.2,1,33.90216361914475,32.73517660310113,28.435677020582684,22186,1199,8,929.1,6.4
West Virginia,54,2015,314,1844128,17,1,16.8,1,33.1651512135321,31.841415193103913,28.03146719446159,22752,1233.8,8.2,943.4,6.4
West Virginia,54,2016,309,1831102,16.9,1,16.2,1,33.1175493908923,32.07728040479939,27.93658219473939,22732,1241.4,8.2,943.3,6.4
Wisconsin,55,2012,676,5726398,11.8,0.5,11.4,0.4,26.28365161433716,24.45781471202696,21.31700356841936,48384,844.9,3.8,707.8,3.3
Wisconsin,55,2013,629,5742713,11,0.4,10.6,0.4,26.98401676295219,25.054341824016333,22.309382547603807,50026,871.1,3.9,720.1,3.3
Wisconsin,55,2014,596,5757564,10.4,0.4,9.9,0.4,27.14919732615212,25.160921657245133,22.397235914655123,50291,873.5,3.9,712.1,3.2
Wisconsin,55,2015,640,5771337,11.1,0.4,10.6,0.4,27.22183475280804,25.387103426645837,22.7212024695566,51264,888.3,3.9,715.9,3.2
Wisconsin,55,2016,691,5778708,12,0.5,11.5,0.4,26.96874908917929,25.367323872912216,22.804000018711182,51815,896.7,3.9,717.9,3.2
Wyoming,56,2012,108,576412,18.7,1.8,18.8,1.8,17.384287364150552,16.46813645651337,12.213864787230893,4481,777.4,11.6,748.3,11.3
Wyoming,56,2013,97,582658,16.6,1.7,16.9,1.7,16.69516544163582,15.096259223429206,10.99814728214501,4516,775.1,11.5,731.7,11.1
Wyoming,56,2014,137,584153,23.5,2,23.2,2,18.4382147986595,16.588471017961947,13.108498679007749,4666,798.8,11.7,742.4,11.1
Wyoming,56,2015,145,586107,24.7,2.1,24.8,2.1,17.68130904207893,15.353377107646546,12.280391441989408,4778,815.2,11.8,748.3,11
Wyoming,56,2016,112,585501,19.1,1.8,18.9,1.8,14.640100332950118,13.156755304059603,10.536079549696165,4722,806.5,11.7,720.9,10.7
