"","GEOID","NAME","Minutes_Total_E","Minutes_Total_M","Minutes_Less_than_5_E","Minutes_Less_than_5_M","Minutes_5_to_9_E","Minutes_5_to_9_M","Minutes_10_to_14_E","Minutes_10_to_14_M","Minutes_15_to_19_E","Minutes_15_to_19_M","Minutes_20_to_24_E","Minutes_20_to_24_M","Minutes_25_to_29_E","Minutes_25_to_29_M","Minutes_30_to_34_E","Minutes_30_to_34_M","Minutes_35_to_39_E","Minutes_35_to_39_M","Minutes_40_to_44_E","Minutes_40_to_44_M","Minutes_45_to_59_E","Minutes_45_to_59_M","Minutes_60_to_89_E","Minutes_60_to_89_M","Minutes_90_or_more_E","Minutes_90_or_more_M","year"
"2285","13179","Liberty County, Georgia",27191,1423,984,517,4531,954,5690,1269,5124,971,3283,991,1631,690,1546,621,696,458,157,193,1843,802,427,281,1279,665,2013
"2286","13185","Lowndes County, Georgia",47718,2720,2118,792,7312,1557,9294,1451,12952,1931,8095,1442,1648,655,2598,758,357,219,417,286,1243,615,758,484,926,417,2013
"2287","13215","Muscogee County, Georgia",75837,3639,2529,960,7455,1237,13355,1777,17738,2144,14272,1948,4942,1639,8851,1529,1005,571,538,324,2467,844,825,584,1860,1137,2013
"2288","13217","Newton County, Georgia",40777,2982,1632,1056,2933,1022,6001,1667,4509,1246,4951,1517,2589,951,5679,1553,711,419,1716,894,2907,835,6021,2736,1128,574,2013
"2289","13223","Paulding County, Georgia",64007,3356,982,643,1319,609,4765,1403,8290,2015,5559,1533,3230,1183,9790,2176,1503,746,2742,935,11479,2006,10474,2158,3874,1510,2013
"2290","13245","Richmond County, Georgia",74910,3686,1268,623,7204,1304,13899,1896,19949,2482,14143,2149,4705,1844,7690,1737,1052,612,950,500,2812,930,477,295,761,439,2013
"2291","13247","Rockdale County, Georgia",34271,2082,359,268,2192,766,5684,1294,5442,1383,5474,1493,1244,646,2972,1093,1018,602,1967,838,4729,1092,1964,848,1226,788,2013
"2292","13285","Troup County, Georgia",27995,1981,249,206,4040,1197,3572,1012,6758,1287,4734,1403,1575,623,3239,1066,500,412,186,172,1614,885,1105,514,423,299,2013
"2293","13295","Walker County, Georgia",26816,2181,718,465,1420,608,2451,950,3444,923,5350,1387,2762,1147,4926,982,1391,770,1020,535,2159,606,587,327,588,412,2013
"2294","13297","Walton County, Georgia",36222,1817,1273,715,3153,1046,4044,1151,4139,1650,4514,1347,1593,598,4800,993,993,494,2400,894,4609,1043,3883,991,821,392,2013
"2295","13313","Whitfield County, Georgia",44235,2215,764,363,2856,1038,5879,1326,11626,2010,10802,1703,3981,1255,4674,1190,918,782,1413,755,711,411,380,225,231,208,2013
"2296","15001","Hawaii County, Hawaii",71974,3268,2420,1150,8301,1381,9163,1769,11255,2031,9502,2143,2342,928,12112,2451,978,505,1536,653,5970,1613,4434,1171,3961,1267,2013
"2297","15003","Honolulu County, Hawaii",461948,6036,8323,1658,38120,3274,52844,3918,62792,4213,65661,3960,26304,2358,87418,3720,9754,1241,17302,1996,48179,3310,32956,3131,12295,2167,2013
"2298","15007","Kauai County, Hawaii",31266,1288,792,394,4014,718,4416,901,5024,1243,5417,1761,1447,695,5640,1318,722,547,686,336,1881,736,880,454,347,279,2013
"2299","15009","Maui County, Hawaii",77572,3169,4152,1095,10826,2334,14884,2403,12307,1936,9005,1689,4028,1277,9003,1632,2411,836,1813,858,5957,1361,2793,916,393,272,2013
